"placeCode","placeName","stateCode","lat","lng","coverImage"
"CHANDIPUR","Chandipur, Odisha","ODISHA",21.4398608,87.0149438,"https://www.holidify.com/images/bgImages/CHANDIPUR.jpg"
"CHANGLANG","Changlang, Arunachal Pradesh","ARUNACHAL-PRADESH",27.1460636,95.7482047,"https://www.holidify.com/images/bgImages/CHANGLANG.jpg"
"CHANNAPATNA","Channapatna","KARNATAKA",12.6593,77.2039,"https://www.holidify.com/images/bgImages/CHANNAPATNA.jpg"
"CHAUKORI","Chaukori, Uttarakhand","UTTARAKHAND",29.8384526,80.0332325,"https://www.holidify.com/images/bgImages/CHAUKORI.jpg"
"CHENNAI","Chennai, Tamil Nadu","TAMIL-NADU",13.060422,80.249583,"https://www.holidify.com/images/bgImages/CHENNAI.jpg"
"CHERRAPUNJEE","Cherrapunji, Meghalaya","MEGHALAYA",25.3,91.7,"https://www.holidify.com/images/bgImages/CHERRAPUNJEE.jpg"
"CHETTINAD","Chettinad, Tamil Nadu","TAMIL-NADU",10.7610118,79.8451473,"https://www.holidify.com/images/bgImages/CHETTINAD.jpg"
"CHIDAMBRAM","Chidambram, Tamil Nadu","TAMIL-NADU",11.3981936,79.6953594,"https://www.holidify.com/images/bgImages/CHIDAMBRAM.jpg"
"CHIKBALLAPUR","Chikballapur, Karnataka","KARNATAKA",13.5228647,77.8367282,"https://www.holidify.com/images/bgImages/CHIKBALLAPUR.jpg"
"CHIKHALDARA","Chikhaldara, Maharashtra","MAHARASHTRA-GOA",21.4030119,77.3268121,"https://www.holidify.com/images/bgImages/CHIKHALDARA.jpg"
"CHIKMAGALUR","Chikmagalur, Karnataka","KARNATAKA",13.311821,75.770385,"https://www.holidify.com/images/bgImages/CHIKMAGALUR.jpg"
"CHIPLUN","Chiplun, Maharashtra","MAHARASHTRA-GOA",17.53,73.52,"https://www.holidify.com/images/bgImages/CHIPLUN.jpg"
"CHITRAKOOT","Chitrakoot, Uttar Pradesh","UTTAR-PRADESH",25.1788154,80.8654534,"https://www.holidify.com/images/bgImages/CHITRAKOOT.jpg"
"CHITTOOR","Chittoor, Andhra Pradesh","ANDHRA-PRADESH",13.217176,79.1003289,"https://www.holidify.com/images/bgImages/CHITTOOR.jpg"
